Words,Counts
הבעייתיים,1
הבעלי,1
הגבול,1
הגבלה,3
הגברת,1
הגבת,1
הגדולה,1
הגדולות,1
הגדרה,5
הגדרות,6
הגדרת,2
הגופים,1
הגז,1
הגיבה,1
הגיוני,2
הגיוניות,1
הגיל,1
הגיע,1
הגיעו,1
הגישה,1
הגלגלים,2
הגלישה,1
הגעתי,1
הגרוע,1
הגרועה,1
הגשתי,1
הדביקו,1
הדבר,5
הדברים,3
הדגיש,1
הדגם,3
הדובר,1
הדוברים,1
הדיאלוג,1
הדיבור,1
הדיון,3
הדיונים,2
הדס,1
הדעת,2
הדרום,1
הדרך,2
הדרכה,3
ההבדל,3
ההבנה,2
ההגדרה,2
ההגדרות,1
ההגנה,1
ההגעה,2
ההדרכה,1
ההוא,1
ההודעה,69
ההודעות,2
ההחזר,3
ההטפות,1
ההמלצה,1
ההנגשה,3
ההסברה,1
ההצפה,1
ההקלדה,2
ההרצאה,1
ההתבטאות,1
ההתחברות,1
ההתייחסות,1
ההתנהלות,2
ההתראה,8
ההתראות,4
ההתרעה,5
ההתרעהבברכה,1
ההתרעות,4
הוא,56
הואלת,1
הודיע,2
הודיעו,1
הודעה,13
הודעות,11
הודעת,1
הוואטסאפ,1
הוובינר,1
הווטס,1
הווטסאפ,4
הווידאו,6
הווסטאפ,1
הוזכר,1
הוט,12
הויכוח,4
הוכחה,2
הוכחות,1
הולך,1
הולם,1
הולנדר,1
הוסבר,1
הוסיפה,1
הוספת,1
הופך,1
הוצאה,1
הוצאות,1
הוקמו,1
הוראות,1
הורידו,2
הושמט,6
הושמטה,1
הזאת,8
הזה,42
הזו,10
הזוג,1
הזוועה,1
הזוועות,2
הזוי,1
הזולת,1
הזום,1
הזכאי,2
הזכויות,1
הזכות,3
הזמינה,1
הזמינו,1
הזמינות,1
הזמן,21
הזמנות,1
הזמנים,1
הזמנת,1
הזניקה,1
הזעם,1
הזעקות,2
הזקוקים,1
החברות,3
החברים,1
החברתי,1
החברתיים,3
החדשה,1
החדשות,1
החוכמה,2
החולים,3
החוסן,1
החוץ,1
החוק,6
החזר,26
החזרים,2
החזרתם,1
החיבור,2
החיים,1
החילוץ,3
החירום,5
החירשות,1
החירשים,5
החכם,3
החכמים,3
החלו,2
החלוקה,8
החליט,2
החליטה,1
החליפו,2
החלפה,1
החמות,1
החסרונות,1
החקירה,2
החרשים,8
החשאיות,1
החשבון,2
החשוב,1
הטובה,1
הטובות,1
הטובים,1
הטופס,2
הטיעון,1
הטיפ,2
הטיפים,3
הטכנולוגי,2
הטכנולוגיה,1
הטכנולוגית,1
הטכניות,1
הטלוויזיה,1
הטלויזיה,2
הטלפון,16
הטעייה,1
הטעינה,2
הטקסט,1
הטרחה,1
הי,6
היא,32
היבואן,1
היד,4
הידע,1
היה,32
היו,7
היוזמה,3
היום,28
היומי,1
היופ,1
היות,1
היחיד,2
היחידה,2
היטב,3
היי,9
הייטקס,1
היינו,1
היישומון,3
היית,3
הייתה,4
הייתי,8
הייתם,3
היכן,4
היכנסו,2
הילה,5
הינה,1
הינו,3
היסטוריית,1
היעד,1
היצרן,2
היקר,5
הירידה,1
הישראלי,1
הישראלית,1
היתה,1
הכבוד,5
הכוונה,5
הכוונות,2
הכול,1
הכולל,1
הכוללת,1
הכומתה,1
הכותרת,1
הכי,22
הכיוונים,1
הכין,1
הכינוי,1
הכיתוביות,4
הכל,26
הכלכלה,2
הכלכלי,4
הכללית,1
הכנו,1
הכניסה,1
הכנסה,1
הכסף,3
הכפתור,1
הכרה,1
הכרית,3
הכשרה,1
הכתב,1
הכתבה,1
הכתוביות,13
הלאה,7
הלב,1
הלבנונים,1
הלוואי,4
הלוחשת,1
הלחץ,3
הליווי,1
הלילה,2
הלינק,2
הללו,2
הלם,1
הלמעלה,1
הלן,7
הלקוח,3
הלקוחות,1
הלקונה,1
הלקח,1
הלר,2
הם,30
המבין,1
המגורים,2
המדבקה,1
המדגים,1
המדובר,1
המדוייקים,1
המדוייקת,2
המדינה,9
המהירות,1
המובילים,4
המוגן,1
המוזיקאלי,1
המוח,1
המוכנות,1
המומלץ,2
המון,7
המונה,2
המועדון,3
המועצה,4
המוצע,1
המוצר,3
המוקד,3
המורשות,1
המורשים,1
המושג,1
המזעזעת,1
המח,1
המחוקק,1
המחיר,9
המחרידים,1
המחשב,2
המחשבים,1
המטען,2
המטרה,4
המידע,10
המיועד,2
המיטב,1
המיטה,2
המילה,2
המילים,2
המיקום,3
המכון,1
המכירות,1
המכשיר,3
המכשירים,1
המכתב,2
המלחמה,11
המלחמות,1
המלימה,1
המליץ,1
המלצה,4
המלצות,2
הממיר,1
הממסד,1
המנהל,1
המנהלים,1
המסחרי,1
המסייע,2
המסך,1
המספר,13
המעולה,1
המעוניינים,1
המעורר,2
המענה,2
המענים,2
המערכות,1
המערכת,3
המפגש,2
המפיצים,1
המצב,12
המצטרפות,1
המציאו,1
המציאות,4
המצליח,1
המקובלת,1
המקוון,1
המקום,2
המקומות,2
המקומיות,1
המקומית,3
המקור,2
המקורות,1
המקסים,1
המקריות,1
המקרים,1
המראות,1
המרחבים,1
המרכז,4
המרכזיות,1
המרץ,1
המרקחת,1
המשטרה,1
המשך,3
המשכנתאות,1
המשלימות,1
המשמעות,1
המשתמע,1
המתאים,1
המתאימה,1
המתאימים,1
המתלוננים,1
המתנדבות,1
המתפנים,1
המתקדמות,1
המתקשים,1
הן,6
הנאמר,2
הנגיש,1
הנגישות,4
הנגשה,6
הנגשת,1
הנה,2
הנוכחי,2
הנוכחיים,1
הנופלים,3
הנורא,1
הנושא,9
הנושאים,2
הנזק,1
הנחה,1
הנחות,1
הנחיה,2
הנחיות,1
הנחיתי,1
הנייד,4
הנכדים,1
הנכון,2
הנל,2
הנסיבות,2
הנספים,1
הנסתר,1
הנפילות,1
הנפש,1
הנפשות,2
הנפשי,2
הנצורים,1
הנציג,1
הנקודה,1
הנקרא,1
הנראה,1
הנרחב,1
הנרצחים,1
הנשאל,1
הנשיא,1
הנתון,1
הנתונים,1
הסביבתיים,1
הסבר,6
הסברה,2
הסברים,1
הסוללות,2
הסולם,1
הסוף,1
הסחורה,1
הסחות,1
הסיבה,3
הסייבר,1
הסיכוי,1
הסימנים,9
הסיפור,1
הסכום,2
הסכים,1
הסכמה,2
הסל,6
הסלולרי,2
הסמויות,1
הספרייה,2
הסקר,9
הסתגלות,1
הסתדרנו,1
הסתיים,1
העבודה,6
העבירה,1
העבירו,1
העדויות,1
העדכון,3
העובדה,1
העובדת,1
העוטף,1
העולמית,1
העומס,1
העונש,1
העורף,77
העזרה,3
העיירות,1
העין,8
העיקר,2
העיקריות,1
העיר,6
העירוני,2
העירונית,1
העיריה,1
העיריות,2
העירייה,7
העיתונאים,1
העלה,2
העלויות,1
העלות,1
העליון,1
העליונה,1
העלנו,1
העמותות,1
העמק,2
העניין,4
העסק,1
העצה,1
העצמאות,1
העצמית,1
העצמת,1
הערב,1
הערה,1
הערוץ,1
הערוצים,8
הערות,2
הערים,1
הערתי,2
הפאשלות,1
הפגנה,1
הפה,1
הפוגעת,1
הפוליטיקלי,1
הפון,1
הפונטיקה,1
הפונקציןת,1
הפועלגם,1
הפועלים,4
הפייסבוק,2
הפיץ,1
הפיקוד,1
הפירוש,1
הפיתוחים,1
הפלאפון,3
הפלפון,1
הפנו,1
הפניות,2
הפנימיה,1
הפנמת,1
הפנס,2
הפסקה,2
הפעולה,2
הפעולות,1
הפעלה,2
הפעלת,2
הפעם,2
הפצה,1
הפרט,2
הפרטיות,1
הפרטים,2
הפריסה,1
הפריע,1
הפריצה,1
הפרסום,2
הפרסומים,1
הפרק,1
הפרש,2
הפרשות,2
הפתרון,2
הצ,1
הצבא,1
הצבעה,1
הצבעות,4
הצד,2
הצופר,1
הצופרים,1
הצורך,4
הצטרפה,1
הצטרפו,3
הצטרפתם,1
הציבור,3
הצלה,1
הצלחתי,4
הצלחתם,1
הצליח,1
הצליל,1
הצלצול,1
הצלת,1
הצמיד,5
הצמידים,4
הצעדים,1
הצעות,3
הצער,1
הצעת,1
הצעתי,1
הצעתך,1
הצפון,2
הצפייה,1
הצפירה,1
הצפת,1
הצרכים,5
הקבוע,1
הקבוצה,12
הקבוצות,2
הקבלה,1
הקדוש,1
הקדימו,1
הקהילה,8
הקהילתי,1
הקודמת,1
הקוי,1
הקולות,1
הקופה,2
הקופות,3
הקטע,1
הקימה,2
הקישור,6
הקישוריות,1
הקלדה,1
הקליטה,1
הקמת,1
הקניה,2
הקפדה,1
הקצה,1
הקצרנות,1
הקרוב,4
הקריות,1
הקריטריונים,1
הקשה,1
הקשורים,1
הקשים,1
הקשר,1
הראיתי,1
הראל,1
הראש,2
הראשון,1
הראשונה,4
הראשית,1
הראתי,1
הרבה,23
הרבות,1
הרגילים,2
הרגל,1
הרגשיות,1
הרווחה,37
הרוש,3
הרחב,1
הרטט,8
הרי,5
הריבים,1
הרכישה,1
הרלוונטי,2
הרלוונטיות,1
הרמקולים,1
הרע,1
הרעב,2
הרעיון,2
הרעש,1
הרקטות,1
הרשאות,1
הרשויות,4
הרשות,3
הרשמה,2
הרשמו,3
הרשמי,2
הרשמית,1
הרשת,1
הרתעה,1
השאירו,4
השאלה,3
השאלות,3
השאר,6
השבוע,3
השבועות,1
השבע,2
השבת,1
השוד,1
השוואות,1
השומעים,1
השונות,2
השוק,1
השטן,1
השיבושים,1
השידה,1
השידור,2
השידורים,1
השיחה,2
השיטה,2
השילוב,1
השימוש,1
השיעור,1
השיקול,1
השיר,1
השירות,7
השירותים,3
השירים,1
השכילו,1
השכמה,1
השכנים,1
השלטון,1
השליחה,1
השלילית,1
השלם,1
השלמה,1
השם,5
השמות,1
השמיעה,10
השני,3
השניה,1
השנייה,1
השניים,1
השעון,32
השעונים,21
השעות,6
השקט,1
השקיעו,1
השקיפות,1
השקעה,1
השרון,2
השתל,3
השתמשתי,2
השתנה,2
השתתפות,1
התאחדות,1
התאמה,4
התאמות,1
התבלבלתי,1
התברר,1
התגובה,2
התגובות,2
התגלה,1
התודעה,1
התוכנות,1
התוכנית,1
התוצאה,1
התוצאות,1
התורים,1
התושבים,2
התחברות,2
התחברתי,1
התחום,3
התחיל,3
התחילה,1
התחילו,2
התחשבות,1
התחתון,1
התיבות,1
התיווך,1
התיחסות,1
התייחס,1
התייחסות,2
התייחסותך,1
התייעצו,1
התכוון,1
התכוונו,1
התכוונתי,1
התכנים,1
התכתבות,2
התכתבתי,1
התלבטתי,1
התלונה,1
התלוננו,2
התמודדות,1
התמיכה,1
התנגדות,1
התנדבות,1
התנדבותי,1
התנהגת,1
התנהלות,2
התנסות,1
התסכול,3
התעוררו,1
התעסקות,1
התקבלה,2
התקוה,1
התקיים,1
התקלות,1
התקן,2
התקנתי,1
התקף,1
התקציב,1
התקשורת,6
התקשר,2
התקשרת,1
התראה,31
התראות,19
התראת,1
התרגלתי,1
התרומה,2
התריע,5
התריעה,2
התריעו,1
התרעה,14
התרעות,7
התרעת,2
התשובה,4
